config_id,source,direction,entry_pct,exit_pct,take_profit_pct,stop_loss_pct,max_hold_snapshots,notional_pct,max_concurrent,sessions,positive_sessions,total_trades,total_wins,total_losses,total_pnl,avg_pnl,max_drawdown,total_fees
perp_gap_fade_e0p35_x0_tp2_sl1p25_h9999_n0p35_m5,perp_gap,fade,0.35,0,2,1.25,9999,0.35,5,4,2,13,11,2,49.585494,12.396373,5.365394,9.059973
perp_gap_fade_e0p35_x0_tp2_sl1p25_h9999_n0p35_m8,perp_gap,fade,0.35,0,2,1.25,9999,0.35,8,4,2,13,11,2,49.585494,12.396373,5.365394,9.059973
perp_gap_fade_e0p35_x0_tp2_sl2p5_h9999_n0p35_m5,perp_gap,fade,0.35,0,2,2.5,9999,0.35,5,4,2,13,11,2,49.585494,12.396373,5.365394,9.059973
perp_gap_fade_e0p35_x0_tp2_sl2p5_h9999_n0p35_m8,perp_gap,fade,0.35,0,2,2.5,9999,0.35,8,4,2,13,11,2,49.585494,12.396373,5.365394,9.059973
perp_gap_fade_e0p35_x0_tp2_sl0p75_h9999_n0p35_m5,perp_gap,fade,0.35,0,2,0.75,9999,0.35,5,4,2,14,12,2,49.399104,12.349776,5.86181,9.775219
perp_gap_fade_e0p35_x0_tp2_sl0p75_h9999_n0p35_m8,perp_gap,fade,0.35,0,2,0.75,9999,0.35,8,4,2,14,12,2,49.399104,12.349776,5.86181,9.775219
perp_gap_fade_e0p35_x0_tp2_sl0p75_h9999_n0p35_m2,perp_gap,fade,0.35,0,2,0.75,9999,0.35,2,4,2,13,11,2,48.369378,12.092344,6.194125,9.267557
perp_gap_fade_e0p35_x0_tp2_sl1p25_h9999_n0p35_m2,perp_gap,fade,0.35,0,2,1.25,9999,0.35,2,4,2,11,9,2,48.346187,12.086547,5.908406,7.837425
perp_gap_fade_e0p35_x0_tp2_sl2p5_h9999_n0p35_m2,perp_gap,fade,0.35,0,2,2.5,9999,0.35,2,4,2,11,9,2,48.346187,12.086547,5.908406,7.837425
perp_gap_fade_e0p35_x0_tp2_sl0p75_h9999_n0p5_m2,perp_gap,fade,0.35,0,2,0.75,9999,0.5,2,4,2,5,5,0,47.8575,11.964375,3.998328,5.085072
perp_gap_fade_e0p35_x0_tp2_sl0p75_h9999_n0p5_m5,perp_gap,fade,0.35,0,2,0.75,9999,0.5,5,4,2,5,5,0,47.8575,11.964375,3.998328,5.085072
perp_gap_fade_e0p35_x0_tp2_sl0p75_h9999_n0p5_m8,perp_gap,fade,0.35,0,2,0.75,9999,0.5,8,4,2,5,5,0,47.8575,11.964375,3.998328,5.085072
perp_gap_fade_e0p35_x0_tp2_sl1p25_h9999_n0p5_m2,perp_gap,fade,0.35,0,2,1.25,9999,0.5,2,4,2,5,5,0,47.8575,11.964375,3.998328,5.085072
perp_gap_fade_e0p35_x0_tp2_sl1p25_h9999_n0p5_m5,perp_gap,fade,0.35,0,2,1.25,9999,0.5,5,4,2,5,5,0,47.8575,11.964375,3.998328,5.085072
perp_gap_fade_e0p35_x0_tp2_sl1p25_h9999_n0p5_m8,perp_gap,fade,0.35,0,2,1.25,9999,0.5,8,4,2,5,5,0,47.8575,11.964375,3.998328,5.085072
perp_gap_fade_e0p35_x0_tp2_sl2p5_h9999_n0p5_m2,perp_gap,fade,0.35,0,2,2.5,9999,0.5,2,4,2,5,5,0,47.8575,11.964375,3.998328,5.085072
perp_gap_fade_e0p35_x0_tp2_sl2p5_h9999_n0p5_m5,perp_gap,fade,0.35,0,2,2.5,9999,0.5,5,4,2,5,5,0,47.8575,11.964375,3.998328,5.085072
perp_gap_fade_e0p35_x0_tp2_sl2p5_h9999_n0p5_m8,perp_gap,fade,0.35,0,2,2.5,9999,0.5,8,4,2,5,5,0,47.8575,11.964375,3.998328,5.085072
perp_gap_fade_e0p2_x0_tp1p25_sl0p75_h9999_n0p35_m5,perp_gap,fade,0.2,0,1.25,0.75,9999,0.35,5,4,2,25,14,11,41.910793,10.477698,11.160382,17.040167
perp_gap_fade_e0p2_x0_tp1p25_sl0p75_h9999_n0p35_m8,perp_gap,fade,0.2,0,1.25,0.75,9999,0.35,8,4,2,25,14,11,41.910793,10.477698,11.160382,17.040167
perp_gap_fade_e0p5_x0_tp2_sl1p25_h9999_n0p5_m2,perp_gap,fade,0.5,0,2,1.25,9999,0.5,2,4,2,6,6,0,40.051696,10.012924,7.222283,6.104705
perp_gap_fade_e0p5_x0_tp2_sl1p25_h9999_n0p5_m5,perp_gap,fade,0.5,0,2,1.25,9999,0.5,5,4,2,6,6,0,40.051696,10.012924,7.222283,6.104705
perp_gap_fade_e0p5_x0_tp2_sl1p25_h9999_n0p5_m8,perp_gap,fade,0.5,0,2,1.25,9999,0.5,8,4,2,6,6,0,40.051696,10.012924,7.222283,6.104705
perp_gap_fade_e0p5_x0_tp2_sl2p5_h9999_n0p5_m2,perp_gap,fade,0.5,0,2,2.5,9999,0.5,2,4,2,6,6,0,40.051696,10.012924,7.222283,6.104705
perp_gap_fade_e0p5_x0_tp2_sl2p5_h9999_n0p5_m5,perp_gap,fade,0.5,0,2,2.5,9999,0.5,5,4,2,6,6,0,40.051696,10.012924,7.222283,6.104705
perp_gap_fade_e0p5_x0_tp2_sl2p5_h9999_n0p5_m8,perp_gap,fade,0.5,0,2,2.5,9999,0.5,8,4,2,6,6,0,40.051696,10.012924,7.222283,6.104705
perp_gap_fade_e0p5_x0_tp1p25_sl1p25_h9999_n0p5_m2,perp_gap,fade,0.5,0,1.25,1.25,9999,0.5,2,4,2,7,7,0,39.364821,9.841205,4.950387,7.135898
perp_gap_fade_e0p5_x0_tp1p25_sl1p25_h9999_n0p5_m5,perp_gap,fade,0.5,0,1.25,1.25,9999,0.5,5,4,2,7,7,0,39.364821,9.841205,4.950387,7.135898
perp_gap_fade_e0p5_x0_tp1p25_sl1p25_h9999_n0p5_m8,perp_gap,fade,0.5,0,1.25,1.25,9999,0.5,8,4,2,7,7,0,39.364821,9.841205,4.950387,7.135898
perp_gap_fade_e0p5_x0_tp1p25_sl2p5_h9999_n0p5_m2,perp_gap,fade,0.5,0,1.25,2.5,9999,0.5,2,4,2,7,7,0,39.364821,9.841205,4.950387,7.135898
perp_gap_fade_e0p5_x0_tp1p25_sl2p5_h9999_n0p5_m5,perp_gap,fade,0.5,0,1.25,2.5,9999,0.5,5,4,2,7,7,0,39.364821,9.841205,4.950387,7.135898
perp_gap_fade_e0p5_x0_tp1p25_sl2p5_h9999_n0p5_m8,perp_gap,fade,0.5,0,1.25,2.5,9999,0.5,8,4,2,7,7,0,39.364821,9.841205,4.950387,7.135898
perp_gap_fade_e0p5_x0p1_tp1p25_sl1p25_h9999_n0p5_m2,perp_gap,fade,0.5,0.1,1.25,1.25,9999,0.5,2,4,2,7,7,0,39.077488,9.769372,4.950387,7.135123
perp_gap_fade_e0p5_x0p1_tp1p25_sl1p25_h9999_n0p5_m5,perp_gap,fade,0.5,0.1,1.25,1.25,9999,0.5,5,4,2,7,7,0,39.077488,9.769372,4.950387,7.135123
