config_id,source,direction,sessions,active_sessions,positive_sessions,total_pnl,avg_pnl,median_pnl,worst_pnl,max_drawdown,total_trades,total_wins,total_losses,win_rate,stability_score,robustness_score,overfit_verdict,rejection_reason
perp_gap_fade_e0p35_x0_tp2_sl1p25_h9999_n0p35_m5,perp_gap,fade,5,3,2,54.926313,10.985263,0,-1.434848,6.333389,18,15,3,0.833333,53.358753,62.931286,PASS,
perp_gap_fade_e0p35_x0_tp2_sl1p25_h9999_n0p35_m8,perp_gap,fade,5,3,2,54.926313,10.985263,0,-1.434848,6.333389,18,15,3,0.833333,53.358753,62.931286,PASS,
perp_gap_fade_e0p35_x0_tp2_sl2p5_h9999_n0p35_m5,perp_gap,fade,5,3,2,54.926313,10.985263,0,-1.434848,6.333389,18,15,3,0.833333,53.358753,62.931286,PASS,
perp_gap_fade_e0p35_x0_tp2_sl2p5_h9999_n0p35_m8,perp_gap,fade,5,3,2,54.926313,10.985263,0,-1.434848,6.333389,18,15,3,0.833333,53.358753,62.931286,PASS,
perp_gap_fade_e0p35_x0_tp2_sl1p25_h9999_n0p35_m2,perp_gap,fade,5,3,2,53.687006,10.737401,0,-1.434848,6.333389,16,13,3,0.8125,53.322733,61.684775,PASS,
perp_gap_fade_e0p35_x0_tp2_sl2p5_h9999_n0p35_m2,perp_gap,fade,5,3,2,53.687006,10.737401,0,-1.434848,6.333389,16,13,3,0.8125,53.322733,61.684775,PASS,
perp_gap_fade_e0p35_x0_tp2_sl0p75_h9999_n0p35_m5,perp_gap,fade,5,3,2,54.05044,10.810088,0,-1.434848,7.052123,20,16,4,0.8,53.362639,60.618722,PASS,
perp_gap_fade_e0p35_x0_tp2_sl0p75_h9999_n0p35_m8,perp_gap,fade,5,3,2,54.05044,10.810088,0,-1.434848,7.052123,20,16,4,0.8,53.362639,60.618722,PASS,
perp_gap_fade_e0p35_x0_tp2_sl0p75_h9999_n0p35_m2,perp_gap,fade,5,3,2,53.020714,10.604143,0,-1.434848,7.052123,19,15,4,0.789474,53.333096,59.583087,PASS,
perp_gap_fade_e0p5_x0p1_tp1p25_sl1p25_h9999_n0p5_m2,perp_gap,fade,5,3,2,43.763718,8.752744,0,-1.656115,4.950387,10,9,1,0.9,53.271958,54.517336,PASS,
perp_gap_fade_e0p5_x0p1_tp1p25_sl1p25_h9999_n0p5_m5,perp_gap,fade,5,3,2,43.763718,8.752744,0,-1.656115,4.950387,10,9,1,0.9,53.271958,54.517336,PASS,
perp_gap_fade_e0p5_x0p1_tp1p25_sl1p25_h9999_n0p5_m8,perp_gap,fade,5,3,2,43.763718,8.752744,0,-1.656115,4.950387,10,9,1,0.9,53.271958,54.517336,PASS,
perp_gap_fade_e0p5_x0p1_tp1p25_sl2p5_h9999_n0p5_m2,perp_gap,fade,5,3,2,43.763718,8.752744,0,-1.656115,4.950387,10,9,1,0.9,53.271958,54.517336,PASS,
perp_gap_fade_e0p5_x0p1_tp1p25_sl2p5_h9999_n0p5_m5,perp_gap,fade,5,3,2,43.763718,8.752744,0,-1.656115,4.950387,10,9,1,0.9,53.271958,54.517336,PASS,
perp_gap_fade_e0p5_x0p1_tp1p25_sl2p5_h9999_n0p5_m8,perp_gap,fade,5,3,2,43.763718,8.752744,0,-1.656115,4.950387,10,9,1,0.9,53.271958,54.517336,PASS,
perp_gap_fade_e0p5_x0_tp1p25_sl1p25_h9999_n0p5_m2,perp_gap,fade,5,3,2,43.66047,8.732094,0,-2.049783,4.950387,10,9,1,0.9,53.244347,54.408565,PASS,
perp_gap_fade_e0p5_x0_tp1p25_sl1p25_h9999_n0p5_m5,perp_gap,fade,5,3,2,43.66047,8.732094,0,-2.049783,4.950387,10,9,1,0.9,53.244347,54.408565,PASS,
perp_gap_fade_e0p5_x0_tp1p25_sl1p25_h9999_n0p5_m8,perp_gap,fade,5,3,2,43.66047,8.732094,0,-2.049783,4.950387,10,9,1,0.9,53.244347,54.408565,PASS,
perp_gap_fade_e0p5_x0_tp1p25_sl2p5_h9999_n0p5_m2,perp_gap,fade,5,3,2,43.66047,8.732094,0,-2.049783,4.950387,10,9,1,0.9,53.244347,54.408565,PASS,
perp_gap_fade_e0p5_x0_tp1p25_sl2p5_h9999_n0p5_m5,perp_gap,fade,5,3,2,43.66047,8.732094,0,-2.049783,4.950387,10,9,1,0.9,53.244347,54.408565,PASS,
perp_gap_fade_e0p5_x0_tp1p25_sl2p5_h9999_n0p5_m8,perp_gap,fade,5,3,2,43.66047,8.732094,0,-2.049783,4.950387,10,9,1,0.9,53.244347,54.408565,PASS,
