config_id,config_hash,source,direction,sessions,active_sessions,positive_sessions,total_pnl,avg_pnl,median_pnl,worst_pnl,max_drawdown,total_trades,total_wins,total_losses,win_rate,stability_score,robustness_score,overfit_verdict,rejection_reason
perp_gap_fade_e0p35_x0_tp2_sl0p75_h15_n0p35_m5,f7bdcfcc508cf2c061e32c1044892714ee1ac54ef7bc33569989d1babec4edbb,perp_gap,fade,6,3,1,29.15586,4.85931,0,-1.434848,11.810997,48,23,25,0.479167,52.275658,20.988998,REJECT,LOW_ACTIVE_SESSION_HIT_RATE
perp_gap_fade_e0p35_x0_tp2_sl0p75_h15_n0p35_m8,7b1243c1fd25f14dd4b3f6906d698156becda93980bb898d7e075b78e9cbe610,perp_gap,fade,6,3,1,29.15586,4.85931,0,-1.434848,11.810997,48,23,25,0.479167,52.275658,20.988998,REJECT,LOW_ACTIVE_SESSION_HIT_RATE
perp_gap_fade_e0p35_x0_tp2_sl1p25_h15_n0p35_m5,11cc4c708c0c9eb183b2cdaa7b2a4bfbc51b17abea6ecd6b69a78ace9153f9c7,perp_gap,fade,6,3,1,29.15586,4.85931,0,-1.434848,11.810997,48,23,25,0.479167,52.275658,20.988998,REJECT,LOW_ACTIVE_SESSION_HIT_RATE
perp_gap_fade_e0p35_x0_tp2_sl1p25_h15_n0p35_m8,49c4eb35d52c9545e83d8048ee67c85ee62fb5b67dcd66762b35096840987aca,perp_gap,fade,6,3,1,29.15586,4.85931,0,-1.434848,11.810997,48,23,25,0.479167,52.275658,20.988998,REJECT,LOW_ACTIVE_SESSION_HIT_RATE
perp_gap_fade_e0p35_x0_tp2_sl2p5_h15_n0p35_m5,9ddc0039b81fcf014cb74ff45a8903175066a65415d31d9fe2787fc9dd194412,perp_gap,fade,6,3,1,29.15586,4.85931,0,-1.434848,11.810997,48,23,25,0.479167,52.275658,20.988998,REJECT,LOW_ACTIVE_SESSION_HIT_RATE
perp_gap_fade_e0p35_x0_tp2_sl2p5_h15_n0p35_m8,9eff613beee3ced915a47b2bf8060cfbf57010f335f22996ac00c45946fac0bd,perp_gap,fade,6,3,1,29.15586,4.85931,0,-1.434848,11.810997,48,23,25,0.479167,52.275658,20.988998,REJECT,LOW_ACTIVE_SESSION_HIT_RATE
perp_gap_fade_e0p35_x0_tp2_sl0p75_h15_n0p35_m2,e9985a76990729a2b089564cb7d71a81de7be23b6b54c6e63e64e1f07251dc10,perp_gap,fade,6,3,1,28.132923,4.688821,0,-2.399544,12.085204,46,22,24,0.478261,52.099454,19.382406,REJECT,LOW_ACTIVE_SESSION_HIT_RATE
perp_gap_fade_e0p35_x0_tp2_sl1p25_h15_n0p35_m2,b2245d6c76f11d88added8f4b7d593947ba9da78fc7a4b1589ebeb294e713e80,perp_gap,fade,6,3,1,28.132923,4.688821,0,-2.399544,12.085204,46,22,24,0.478261,52.099454,19.382406,REJECT,LOW_ACTIVE_SESSION_HIT_RATE
perp_gap_fade_e0p35_x0_tp2_sl2p5_h15_n0p35_m2,1bc4ae012c08fd770be43e280199baef478f0e9150c0acf42008b4deb3461515,perp_gap,fade,6,3,1,28.132923,4.688821,0,-2.399544,12.085204,46,22,24,0.478261,52.099454,19.382406,REJECT,LOW_ACTIVE_SESSION_HIT_RATE
perp_gap_fade_e0p35_x0_tp2_sl0p75_h15_n0p2_m5,9108b0e96ceaaf0d8c0d35677c139c784b2946844233d7adfb3a45b25ea42534,perp_gap,fade,6,3,1,16.701452,2.783575,0,-0.819913,6.767281,48,23,25,0.479167,52.308752,18.62864,REJECT,LOW_ACTIVE_SESSION_HIT_RATE
perp_gap_fade_e0p35_x0_tp2_sl0p75_h15_n0p2_m8,8b5433d653c329dcaa9e3d427584b893432fb38b4e54f3efd441e9752329f9af,perp_gap,fade,6,3,1,16.701452,2.783575,0,-0.819913,6.767281,48,23,25,0.479167,52.308752,18.62864,REJECT,LOW_ACTIVE_SESSION_HIT_RATE
