strategy_id,family,params_hash,sessions,trades,blocks,net_pnl,max_dd,fees,slippage,turnover,score_pnl,score_safety,cost_stress_pnl,min_leave_one_session_pnl,leave_one_token_out_pnl,threshold_minus_10_pnl,threshold_plus_10_pnl,profit_concentration,overfit_status
GapFade_perp_gap_entry0_35_exit0_tp2_sl0_75_h9999_n0_65_m2,GapFade,c44140dda5767d01,4,6,70,70.660661,5.220366,7.343108,3.671554,7343.108115,68.621259,58.298375,69.192039,25.831133,71.369703,64.640653,61.814226,0.634434,pass
GapFade_perp_gap_entry0_35_exit0_tp2_sl0_75_h9999_n0_65_m5,GapFade,82826caff22b89cf,4,6,70,70.660661,5.220366,7.343108,3.671554,7343.108115,68.621259,58.298375,69.192039,25.831133,71.369703,64.640653,61.814226,0.634434,pass
GapFade_perp_gap_entry0_35_exit0_tp2_sl0_75_h9999_n0_65_m8,GapFade,c5e243ba62ba4456,4,6,70,70.660661,5.220366,7.343108,3.671554,7343.108115,68.621259,58.298375,69.192039,25.831133,71.369703,64.640653,61.814226,0.634434,pass
GapFade_perp_gap_entry0_35_exit0_tp2_sl1_25_h9999_n0_65_m2,GapFade,41014f4689f5f1d0,4,6,70,70.660661,5.220366,7.343108,3.671554,7343.108115,68.621259,58.298375,69.192039,25.831133,71.369703,64.640653,61.814226,0.634434,pass
GapFade_perp_gap_entry0_35_exit0_tp2_sl1_25_h9999_n0_65_m5,GapFade,f3385d329a8f68aa,4,6,70,70.660661,5.220366,7.343108,3.671554,7343.108115,68.621259,58.298375,69.192039,25.831133,71.369703,64.640653,61.814226,0.634434,pass
GapFade_perp_gap_entry0_35_exit0_tp2_sl1_25_h9999_n0_65_m8,GapFade,88f22b53fb52aee1,4,6,70,70.660661,5.220366,7.343108,3.671554,7343.108115,68.621259,58.298375,69.192039,25.831133,71.369703,64.640653,61.814226,0.634434,pass
GapFade_perp_gap_entry0_35_exit0_tp2_sl2_5_h9999_n0_65_m2,GapFade,77ba32837aad04a3,4,6,70,70.660661,5.220366,7.343108,3.671554,7343.108115,68.621259,58.298375,69.192039,25.831133,71.369703,64.640653,61.814226,0.634434,pass
GapFade_perp_gap_entry0_35_exit0_tp2_sl2_5_h9999_n0_65_m5,GapFade,fff7792b71b1fe80,4,6,70,70.660661,5.220366,7.343108,3.671554,7343.108115,68.621259,58.298375,69.192039,25.831133,71.369703,64.640653,61.814226,0.634434,pass
GapFade_perp_gap_entry0_35_exit0_tp2_sl2_5_h9999_n0_65_m8,GapFade,0e7c8a6cd3a8f89f,4,6,70,70.660661,5.220366,7.343108,3.671554,7343.108115,68.621259,58.298375,69.192039,25.831133,71.369703,64.640653,61.814226,0.634434,pass
GapFade_perp_gap_entry0_35_exit0_05_tp2_sl0_75_h9999_n0_65_m2,GapFade,2aeca750980f7ab8,4,11,65,55.898305,6.471019,14.654921,7.32746,14654.920824,52.815058,37.253806,52.967321,21.551933,57.202035,50.693695,48.457762,0.614444,pass
GapFade_perp_gap_entry0_35_exit0_05_tp2_sl0_75_h9999_n0_65_m5,GapFade,1c1d01d6b3c4dbe5,4,11,65,55.898305,6.471019,14.654921,7.32746,14654.920824,52.815058,37.253806,52.967321,21.551933,57.202035,50.693695,48.457762,0.614444,pass
GapFade_perp_gap_entry0_35_exit0_05_tp2_sl0_75_h9999_n0_65_m8,GapFade,35af794ece81d9f7,4,11,65,55.898305,6.471019,14.654921,7.32746,14654.920824,52.815058,37.253806,52.967321,21.551933,57.202035,50.693695,48.457762,0.614444,pass
GapFade_perp_gap_entry0_35_exit0_05_tp2_sl1_25_h9999_n0_65_m2,GapFade,bb7d01c0266d0150,4,11,65,55.898305,6.471019,14.654921,7.32746,14654.920824,52.815058,37.253806,52.967321,21.551933,57.202035,50.693695,48.457762,0.614444,pass
GapFade_perp_gap_entry0_35_exit0_05_tp2_sl1_25_h9999_n0_65_m5,GapFade,1e59ee3283a0486e,4,11,65,55.898305,6.471019,14.654921,7.32746,14654.920824,52.815058,37.253806,52.967321,21.551933,57.202035,50.693695,48.457762,0.614444,pass
