strategy_id,family,params_hash,sessions,trades,blocks,net_pnl,max_dd,fees,slippage,turnover,score_pnl,score_safety,cost_stress_pnl,min_leave_one_session_pnl,leave_one_token_out_pnl,threshold_minus_10_pnl,threshold_plus_10_pnl,profit_concentration,overfit_status
GapFade_perp_gap_entry0_35_exit0_tp2_sl1_25_h9999_n0_65_m2,GapFade,41014f4689f5f1d0,5,8,87,68.708829,11.276728,10.002094,5.001047,10002.093654,64.889438,43.329326,66.70841,23.166415,69.417871,62.712018,59.963665,0.662832,pass
GapFade_perp_gap_entry0_35_exit0_tp2_sl1_25_h9999_n0_65_m5,GapFade,f3385d329a8f68aa,5,8,87,68.708829,11.276728,10.002094,5.001047,10002.093654,64.889438,43.329326,66.70841,23.166415,69.417871,62.712018,59.963665,0.662832,pass
GapFade_perp_gap_entry0_35_exit0_tp2_sl1_25_h9999_n0_65_m8,GapFade,88f22b53fb52aee1,5,8,87,68.708829,11.276728,10.002094,5.001047,10002.093654,64.889438,43.329326,66.70841,23.166415,69.417871,62.712018,59.963665,0.662832,pass
GapFade_perp_gap_entry0_35_exit0_tp2_sl2_5_h9999_n0_65_m2,GapFade,77ba32837aad04a3,5,8,87,68.708829,11.276728,10.002094,5.001047,10002.093654,64.889438,43.329326,66.70841,23.166415,69.417871,62.712018,59.963665,0.662832,pass
GapFade_perp_gap_entry0_35_exit0_tp2_sl2_5_h9999_n0_65_m5,GapFade,fff7792b71b1fe80,5,8,87,68.708829,11.276728,10.002094,5.001047,10002.093654,64.889438,43.329326,66.70841,23.166415,69.417871,62.712018,59.963665,0.662832,pass
GapFade_perp_gap_entry0_35_exit0_tp2_sl2_5_h9999_n0_65_m8,GapFade,0e7c8a6cd3a8f89f,5,8,87,68.708829,11.276728,10.002094,5.001047,10002.093654,64.889438,43.329326,66.70841,23.166415,69.417871,62.712018,59.963665,0.662832,pass
GapFade_perp_gap_entry0_5_exit0_05_tp1_25_sl1_25_h9999_n0_65_m2,GapFade,927a6f20fbf3bdcd,5,10,85,57.207778,6.473954,13.267157,6.633579,13267.157332,54.262574,39.751292,54.554347,20.024753,58.506924,51.967798,49.679487,0.649965,pass
GapFade_perp_gap_entry0_5_exit0_05_tp1_25_sl1_25_h9999_n0_65_m5,GapFade,6078ddf890ee6a56,5,10,85,57.207778,6.473954,13.267157,6.633579,13267.157332,54.262574,39.751292,54.554347,20.024753,58.506924,51.967798,49.679487,0.649965,pass
GapFade_perp_gap_entry0_5_exit0_05_tp1_25_sl1_25_h9999_n0_65_m8,GapFade,9d2a2b9dca3f4d2a,5,10,85,57.207778,6.473954,13.267157,6.633579,13267.157332,54.262574,39.751292,54.554347,20.024753,58.506924,51.967798,49.679487,0.649965,pass
GapFade_perp_gap_entry0_5_exit0_05_tp1_25_sl2_5_h9999_n0_65_m2,GapFade,eae1082826b155e4,5,10,85,57.207778,6.473954,13.267157,6.633579,13267.157332,54.262574,39.751292,54.554347,20.024753,58.506924,51.967798,49.679487,0.649965,pass
