stream,source,kind,instrument,events,valid,degraded,quarantined,firstReceivedAt,lastReceivedAt,p50LatencyMs,p95LatencyMs,maxLatencyMs,cadenceGaps,estimatedMissingIntervals
"bitget-perp|market.quote|AAPL","bitget-perp","market.quote","AAPL",3,3,0,0,1782312957844,1782317425916,0,0,0,1,13
"bitget-perp|market.quote|AMZN","bitget-perp","market.quote","AMZN",3,3,0,0,1782312957844,1782317425916,0,0,0,1,13
"bitget-perp|market.quote|BABA","bitget-perp","market.quote","BABA",3,3,0,0,1782312957844,1782317425916,0,0,0,1,13
"bitget-perp|market.quote|CRCL","bitget-perp","market.quote","CRCL",3,3,0,0,1782312957844,1782317425916,0,0,0,1,13
"bitget-perp|market.quote|GME","bitget-perp","market.quote","GME",3,3,0,0,1782312957844,1782317425916,0,0,0,1,13
"bitget-perp|market.quote|GOOGL","bitget-perp","market.quote","GOOGL",3,3,0,0,1782312957844,1782317425916,0,0,0,1,13
"bitget-perp|market.quote|HOOD","bitget-perp","market.quote","HOOD",3,3,0,0,1782312957844,1782317425916,0,0,0,1,13
"bitget-perp|market.quote|META","bitget-perp","market.quote","META",3,3,0,0,1782312957844,1782317425916,0,0,0,1,13
"bitget-perp|market.quote|MSFT","bitget-perp","market.quote","MSFT",3,3,0,0,1782312957844,1782317425916,0,0,0,1,13
"bitget-perp|market.quote|MSTR","bitget-perp","market.quote","MSTR",3,3,0,0,1782312957844,1782317425916,0,0,0,1,13
"bitget-perp|market.quote|NFLX","bitget-perp","market.quote","NFLX",3,3,0,0,1782312957844,1782317425916,0,0,0,1,13
"bitget-perp|market.quote|NVDA","bitget-perp","market.quote","NVDA",3,3,0,0,1782312957844,1782317425916,0,0,0,1,13
"bitget-perp|market.quote|ORCL","bitget-perp","market.quote","ORCL",3,3,0,0,1782312957844,1782317425916,0,0,0,1,13
"bitget-perp|market.quote|PLTR","bitget-perp","market.quote","PLTR",3,3,0,0,1782312957844,1782317425916,0,0,0,1,13
"bitget-perp|market.quote|QQQ","bitget-perp","market.quote","QQQ",3,3,0,0,1782312957844,1782317425916,0,0,0,1,13
"bitget-perp|market.quote|SPY","bitget-perp","market.quote","SPY",3,3,0,0,1782312957844,1782317425916,0,0,0,1,13
"bitget-perp|market.quote|SQQQ","bitget-perp","market.quote","SQQQ",3,3,0,0,1782312957844,1782317425916,0,0,0,1,13
"bitget-perp|market.quote|TQQQ","bitget-perp","market.quote","TQQQ",3,3,0,0,1782312957844,1782317425916,0,0,0,1,13
"bitget-perp|market.quote|TSLA","bitget-perp","market.quote","TSLA",3,3,0,0,1782312957844,1782317425916,0,0,0,1,13
"bitget-spot|market.book|AAPL","bitget-spot","market.book","AAPL",3,3,0,0,1782312957844,1782317425916,0,0,0,1,13
"bitget-spot|market.book|AMZN","bitget-spot","market.book","AMZN",3,3,0,0,1782312957844,1782317425916,0,0,0,1,13
"bitget-spot|market.book|GOOGL","bitget-spot","market.book","GOOGL",3,3,0,0,1782312957844,1782317425916,0,0,0,1,13
"bitget-spot|market.book|META","bitget-spot","market.book","META",3,3,0,0,1782312957844,1782317425916,0,0,0,1,13
