ticker,symbol,tier,side,requestedNotional,requestedQty,predictedQty,depthQty,predictedPrice,depthPrice,priceErrorBps,predictedCoveragePct,depthCoveragePct,depthShortfallBps
AAPL,RAAPLUSDT,A,buy,25,0.08384197464618687,0.08384197464618687,0.08384197464618687,298.18074544999996,299.85,55.66965315991535,100,100,66.06244550271701
AAPL,RAAPLUSDT,A,buy,100,0.33536789858474747,0.33536789858474747,0.33536789858474747,298.18298180000005,299.85,55.595070868766804,100,100,66.06244550271701
AAPL,RAAPLUSDT,A,buy,500,1.6768394929237374,1.6768394929237374,1.6768394929237376,298.19490900000005,299.88613532143995,56.39561561014212,100,100.00000000000003,67.27552004699795
AAPL,RAAPLUSDT,A,sell,25,0.08384759860477595,0.08384759860477595,0.08384759860477595,298.1592546,297.85972741119997,10.05598143137107,100,100,20.060783344890506
AAPL,RAAPLUSDT,A,sell,100,0.3353903944191038,0.3353903944191038,0.3353903944191038,298.1570184,297.81493185280004,11.486547872927511,100,100,21.561680944888025
AAPL,RAAPLUSDT,A,sell,500,1.676951972095519,1.676951972095519,1.676951972095519,298.14509200000003,297.80298637056,11.487649388926577,100,100,21.96192030488927
TSLA,RTSLAUSDT,A,buy,25,0.06550847679689752,0.06550847679689752,0.06550847679689752,381.630954075,387.76,158.0628720084592,100,100,170.78741189109857
TSLA,RTSLAUSDT,A,buy,100,0.26203390718759006,0.26203390718759006,0.26203390718759006,381.63381630000003,387.76,157.98905766453365,100,100,170.78741189109857
TSLA,RTSLAUSDT,A,buy,500,1.3101695359379504,1.3101695359379504,1.3101695359379504,381.6490815,387.7817608054,158.1476986607814,100,100,171.3581889842357
TSLA,RTSLAUSDT,A,sell,25,0.06552564673813331,0.06552564673813331,0.06552564673813331,381.52904617499996,381.46,1.8100502018555724,100,100,11.832883390558889
TSLA,RTSLAUSDT,A,sell,100,0.26210258695253325,0.26210258695253325,0.26210258695253325,381.5261847,381.46,1.7350364389453148,100,100,11.832883390558889
TSLA,RTSLAUSDT,A,sell,500,1.3105129347626663,1.3105129347626663,1.310512934762666,381.5109235,381.40024378440006,2.901930908636085,100,99.99999999999997,13.397543034212559
NVDA,RNVDAUSDT,A,buy,25,0.12453300124533001,0.12453300124533001,0.12453300124533001,200.75050187499997,200.65262307999998,4.8780222006348435,100,100,5.144493304108776
NVDA,RNVDAUSDT,A,buy,100,0.49813200498132004,0.49813200498132004,0.49813200498132,200.75200750000002,200.69556182000002,2.8125026526805303,100,99.99999999999999,7.285548284932659
NVDA,RNVDAUSDT,A,buy,500,2.4906600249066004,2.4906600249066004,2.4906600249066,200.7600375,200.96274256700002,10.086698878148017,100,99.99999999999997,20.607985532603777
NVDA,RNVDAUSDT,A,sell,25,0.12453920494171565,0.12453920494171565,0.12453920494171565,200.73949815,200.54,9.948047771018791,100,100,19.953173258942762
NVDA,RNVDAUSDT,A,sell,100,0.4981568197668626,0.4981568197668626,0.4981568197668626,200.7379926,200.54,9.872972972973995,100,100,19.953173258942762
NVDA,RNVDAUSDT,A,sell,500,2.490784098834313,2.490784098834313,2.490784098834313,200.729963,200.5250471966,10.218962980673416,100,100,20.69731247367718
MSFT,RMSFTUSDT,A,buy,25,0.06697385340762967,0.06697385340762967,0.06697385340762967,373.28093319999994,374.32,27.758783928191317,100,100,37.888984140592065
MSFT,RMSFTUSDT,A,buy,100,0.26789541363051866,0.26789541363051866,0.26789541363051866,373.2837328,374.320257392,27.69084952072195,100,100,37.89588644963569
MSFT,RMSFTUSDT,A,buy,500,1.3394770681525934,1.3394770681525934,1.3394770681525934,373.29866400000003,374.33868961599995,27.783011610870112,100,100,38.39017106772346
MSFT,RMSFTUSDT,A,sell,25,0.0669882100750268,0.0669882100750268,0.0669882100750268,373.19906699999996,373.812897792,16.42080291037997,100,100,-6.406347647588759
MSFT,RMSFTUSDT,A,sell,100,0.2679528403001072,0.2679528403001072,0.26795284030010713,373.19626800000003,373.714941232,13.878846542503634,100,99.99999999999997,-3.784198573633773
MSFT,RMSFTUSDT,A,sell,500,1.339764201500536,1,1.339764201500536,373.186072176,372.80939953200004,10.10362518951476,74.64,100,20.455784231831338
GOOGL,RGOOGLUSDT,A,buy,25,0.07147349762707988,0.07147349762707988,0.07147349762707988,349.78087444999994,353.59,107.72718544076568,100,100,119.0345359940535
GOOGL,RGOOGLUSDT,A,buy,100,0.28589399050831954,0.28589399050831954,0.28589399050831954,349.7834978,353.59,107.65299358013391,100,100,119.0345359940535
GOOGL,RGOOGLUSDT,A,buy,500,1.4294699525415977,1.4294699525415977,1.4294699525415977,349.797489,353.6393234532,108.6370829942062,100,100,120.44607400804031
GOOGL,RGOOGLUSDT,A,sell,25,0.0714775846294602,0.0714775846294602,0.0714775846294602,349.7591256,349.76,0.024999999999614254,100,100,10
GOOGL,RGOOGLUSDT,A,sell,100,0.2859103385178408,0.2859103385178408,0.28591033851784076,349.7565024,349.676201488,2.296436293298615,100,99.99999999999997,12.393490207227444
GOOGL,RGOOGLUSDT,A,sell,500,1.429551692589204,1.429551692589204,1.4295516925892038,349.742512,349.3494489504,11.251285805112742,100,99.99999999999999,21.726340878041338
AMZN,RAMZNUSDT,A,buy,25,0.10371722535678726,0.10371722535678726,0.10371722535678726,241.04060259999997,247.19,248.772094340387,100,100,265.3995187520746
AMZN,RAMZNUSDT,A,buy,100,0.41486890142714905,0.41486890142714905,0.41486890142714905,241.0424104,247.19,248.6989603139287,100,100,265.3995187520746
AMZN,RAMZNUSDT,A,buy,500,2.0743445071357454,2.0743445071357454,2.0743445071357454,241.052052,247.20616237567998,248.94647918717965,100,100,266.0707159830596
AMZN,RAMZNUSDT,A,sell,25,0.10373013567901747,0.10373013567901747,0.10373013567901747,241.009397475,240.93,3.2954582243796566,100,100,13.316044977386172
AMZN,RAMZNUSDT,A,sell,100,0.4149205427160699,0.4149205427160699,0.4149205427160699,241.0075899,240.93,3.22043332088127,100,100,13.316044977386172
AMZN,RAMZNUSDT,A,sell,500,2.0746027135803495,2.0746027135803495,2.0746027135803495,240.9979495,240.89473721408,4.284538845208188,100,100,14.777707279119584
META,RMETAUSDT,A,buy,25,0.04435927463714113,0.04435927463714113,0.04435927463714113,563.58140895,563.67,1.5716828995687355,100,100,11.598530820822564
META,RMETAUSDT,A,buy,100,0.17743709854856451,0.17743709854856451,0.17743709854856451,563.5856358000001,563.6759576772,1.6023723554243008,100,100,11.704347827764938
META,RMETAUSDT,A,buy,500,0.8871854927428227,0.8871854927428227,0.8871854927428227,563.6081790000001,563.7501632571999,2.5185670258524433,100,100,13.022346791175593
META,RMETAUSDT,A,sell,25,0.04437108425181478,0.04437108425181478,0.04437108425181478,563.4285914249999,562.21,21.675022233682892,100,100,31.6314360257692
META,RMETAUSDT,A,sell,100,0.17748433700725913,0.17748433700725913,0.17748433700725913,563.4243657,562.2080522972001,21.634578121568588,100,100,31.665970131108864
META,RMETAUSDT,A,sell,500,0.8874216850362956,0.8874216850362956,0.8874216850362956,563.4018285,562.1285373902,22.651244779556865,100,100,33.075823921164215
SPY,RSPYUSDT,D,buy,25,0.03386616093199675,0.03386616093199675,0,738.2018455,,,100,0,
SPY,RSPYUSDT,D,buy,100,0.135464643727987,0.135464643727987,0,738.207382,,,100,0,
SPY,RSPYUSDT,D,buy,500,0.6773232186399349,0.6773232186399349,0,738.2369100000001,,,100,0,
SPY,RSPYUSDT,D,sell,25,0.03386707849034111,0.03386707849034111,0,738.1781545499999,,,100,0,
SPY,RSPYUSDT,D,sell,100,0.13546831396136444,0.13546831396136444,0,738.1726182,,,100,0,
SPY,RSPYUSDT,D,sell,500,0.6773415698068223,0.6773415698068223,0,738.1430909999999,,,100,0,
QQQ,RQQQUSDT,D,buy,25,0.03489475741164647,0.03489475741164647,0,716.4417910999999,,,100,0,
QQQ,RQQQUSDT,D,buy,100,0.1395790296465859,0.1395790296465859,0,716.4471644000001,,,100,0,
QQQ,RQQQUSDT,D,buy,500,0.6978951482329294,0.6978951482329294,0,716.4758220000001,,,100,0,
QQQ,RQQQUSDT,D,sell,25,0.03489768000223345,0.03489768000223345,0,716.37820905,,,100,0,
QQQ,RQQQUSDT,D,sell,100,0.1395907200089338,0.1395907200089338,0,716.3728362,,,100,0,
QQQ,RQQQUSDT,D,sell,500,0.697953600044669,0.697953600044669,0,716.344181,,,100,0,
SQQQ,RSQQQUSDT,D,buy,25,0.6330716637123323,0.6330716637123323,0,39.490098724999996,,,100,0,
SQQQ,RSQQQUSDT,D,buy,100,2.532286654849329,2.532286654849329,0,39.490394900000005,,,100,0,
